"date","descripcion","total_publicaciones"
2023-11-16,COTIZ < LIQ DE SUELDO,96
2023-11-16,FALTA COTIZ. SALUD,28
2023-11-16,FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,1
2023-11-16,NO HAY IMAGENES PARA DESCARGAR,8
2023-11-16,NO IMAGENES CON API,156
2023-11-16,NO PROCESADO MEDIPASS,129
2023-11-16,RENTA = TOPE,9
2023-11-16,,366
2023-11-17,COTIZ < LIQ DE SUELDO,42
2023-11-17,FALTA COTIZ. SALUD,14
2023-11-17,NO HAY IMAGENES PARA DESCARGAR,2
2023-11-17,NO IMAGENES CON API,73
2023-11-17,NO PROCESADO MEDIPASS,113
2023-11-17,RENTA = TOPE,8
2023-11-17,,159
2023-11-20,COTIZ < LIQ DE SUELDO,179
2023-11-20,FALTA COTIZ. SALUD,64
2023-11-20,FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2
2023-11-20,NO HAY IMAGENES PARA DESCARGAR,20
2023-11-20,NO IMAGENES CON API,50
2023-11-20,NO PROCESADO MEDIPASS,218
2023-11-20,NO SE ENCUENTRA CODIGO AFP,2
2023-11-20,RENTA = TOPE,14
2023-11-20,,682
2023-11-21,COTIZ < LIQ DE SUELDO,58
2023-11-21,FALTA COTIZ. SALUD,40
2023-11-21,NO HAY IMAGENES PARA DESCARGAR,3
2023-11-21,NO IMAGENES CON API,13
2023-11-21,NO PROCESADO MEDIPASS,139
2023-11-21,RENTA = TOPE,10
2023-11-21,,317
2023-11-22,COTIZ < LIQ DE SUELDO,115
2023-11-22,FALTA COTIZ. SALUD,45
2023-11-22,NO HAY IMAGENES PARA DESCARGAR,12
2023-11-22,NO IMAGENES CON API,1
2023-11-22,NO PROCESADO MEDIPASS,193
2023-11-22,RENTA = TOPE,16
2023-11-22,,415
2023-11-23,COTIZ < LIQ DE SUELDO,25
2023-11-23,FALTA COTIZ. SALUD,18
2023-11-23,NO HAY IMAGENES PARA DESCARGAR,1
2023-11-23,NO PROCESADO MEDIPASS,169
2023-11-23,RENTA = TOPE,7
2023-11-23,,147
2023-11-24,NO PROCESADO MEDIPASS,14
2023-11-24,,1
